PROJECT/SITE,SAMPLE_POINT_NAME,SAMPLE_ID,LAB_SAMPLE_ID,ANALYSIS_LAB,SAMPLE_DATE,SAMPLE_TIME,SAMPLE_TYPE,QC_TYPE,RESULT_TYPE_CODE,CAS_NO,PARAMETER_NAME,CONCENTRATION,LAB_QUALIFIER,REPORTING_LIMIT,PARAMETER_UNITS,% RECOVERY,RPD,TEST,PARAMETER_QUALIFIER,PARAMETER_FILTERED,SAMPLE_COLLECTION_METHOD,SAMPLE_LOCATION,TREATMENT_STATUS,SAMPLED_BY,IDL,MDL,DILUTION_FACTOR,BATCH_ID,SAMPLE_DELIVERY_GROUP,ANALYSIS_DATE,ANALYSIS_TIME,PREP_METHOD,PREP_DATE,PREP_TIME,PREP_METHOD2,PREP_DATE2,PREP_TIME2,WEIGHT_BASIS,LAB_COMMENT,VALIDATION_QUALIFIER,VALIDATION_LEVEL,VALIDATION_COMMENT,VALIDATION_COMMENT_TYPE,VALIDATION_SQL,SAMPLE_DEPTH,SAMPLE_DEPTH_UNIT,SAMPLE_DEPTH_INTERVAL_TOP,SAMPLE_DEPTH_INTERVAL_BOTTOM,SAMPLE_DEPTH_INTERVAL_UNIT,RADIOLOGICAL_COUNTING_ERROR,SAMPLE_TYPE_QUALIFIER,SAMPLE_COMMENT
,EGG-0001,,EGG-0001,,07/02/2026,19:39,GW,NA,TRG,DEP18024,PFHXS_A_L,0.08,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,EGG-0001,,EGG-0001,,07/02/2026,19:39,GW,NA,TRG,DEP18026,PFOS_A_L,1.1,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,EGG-0001,,EGG-0001,,07/02/2026,19:39,GW,NA,TRG,375951,PFNA_A,0.11,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,EGG-0001,,EGG-0001,,07/02/2026,19:39,GW,NA,TRG,335671,PFOA_A,0.42,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,MEAT-0001,,MEAT-0001,,07/02/2026,19:39,GW,NA,TRG,DEP18024,PFHXS_A_L,0.15,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,MEAT-0001,,MEAT-0001,,07/02/2026,19:39,GW,NA,TRG,DEP18026,PFOS_A_L,2.3,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,MEAT-0001,,MEAT-0001,,07/02/2026,19:39,GW,NA,TRG,375951,PFNA_A,0.22,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,MEAT-0001,,MEAT-0001,,07/02/2026,19:39,GW,NA,TRG,335671,PFOA_A,0.85,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,FEED-0001,,FEED-0001,,07/02/2026,19:39,GW,NA,TRG,DEP18024,PFHXS_A_L,0.29,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,FEED-0001,,FEED-0001,,07/02/2026,19:39,GW,NA,TRG,DEP18026,PFOS_A_L,4.2,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,FEED-0001,,FEED-0001,,07/02/2026,19:39,GW,NA,TRG,375951,PFNA_A,0.35,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
,FEED-0001,,FEED-0001,,07/02/2026,19:39,GW,NA,TRG,335671,PFOA_A,1.9,,,NG/KG,,,USFDA-PFAS,,U,LFS,NA,N,,,,1,B-002,B-002,07/02/2026,19:43,SW3535,,,,,,NA,,,,,,,,,,,,,NA,
